tconst,title,year,genres,rating,votes,directorID,topActors
tt8406660,Inmate Zero,2020.0,Horror,4.3,3480,nm2048708,"['nm3324304', 'nm9873827', 'nm4380265']"
tt8406738,Advantages of Travelling by Train,2019.0,"Comedy,Mystery,Thriller",6.4,3464,nm5282604,"['nm0869088', 'nm0145673', 'nm0022764']"
tt8406744,Out in the Open,2019.0,"Adventure,Drama,Thriller",6.9,1711,nm0952583,"['nm0869088', 'nm0130429', 'nm7235691']"
tt8406866,S.P. Chauhan,2019.0,Drama,4.9,1538,"nm4083927,nm15356138,nm15355827","['nm0792116', 'nm2768910', 'nm1004985']"
tt8411144,Kaappaan,2019.0,"Action,Drama,Thriller",6.2,6718,nm0433895,"['nm7548924', 'nm1421814', 'nm1951127']"
tt8413338,Kumbalangi Nights,2019.0,"Comedy,Drama,Romance",8.5,20184,nm7958316,"['nm5939214', 'nm6229968', 'nm1335704']"
tt8415352,The Murder of Nicole Brown Simpson,2019.0,"Crime,Horror,Mystery",2.6,2012,nm0268107,"['nm0002546', 'nm0001763', 'nm0543383']"
tt8417168,Rally Road Racers,2023.0,"Animation,Comedy,Family",5.2,1057,nm1093728,"['nm4497202', 'nm0799777', 'nm4032297']"
tt8418652,The King's Musketeers,2018.0,"Adventure,Comedy",5.6,1233,nm0894787,"['nm0269419', 'nm0557609', 'nm0660266']"
tt8419594,Rare Beasts,2019.0,"Comedy,Drama,Romance",5.4,1543,nm0684877,"['nm0684877', 'nm1095324', 'nm0289098']"
tt8422468,Scam Story,2018.0,"Comedy,Documentary,Musical",8.0,1128,nm16149685,"['nm8493842', 'nm9842310', 'nm9842312']"
tt8425034,Bit,2019.0,"Comedy,Horror",4.9,1597,nm5389756,"['nm4530936', 'nm7414233', 'nm1499228']"
tt8425516,My Life as a Comedian,2019.0,"Biography,Drama",6.4,1351,nm4041098,"['nm0722209', 'nm7947634', 'nm10207054']"
tt8426594,The Wind,2018.0,"Drama,Horror,Mystery",5.6,10302,nm0849747,"['nm3312826', 'nm5065920', 'nm2842232']"
tt8426854,Jalebi,2018.0,"Drama,Romance",6.1,3282,"nm10023062,nm14385921","['nm5599013', 'nm7652046', 'nm9053233']"
tt8426926,Shamshera,2022.0,"Action,Adventure,Drama",4.7,57517,nm1633551,"['nm1633541', 'nm1633541', 'nm0004569']"
tt8427036,Helicopter Eela,2018.0,Drama,5.5,1327,nm1224879,"['nm0004418', 'nm4690844', 'nm1421628']"
tt8428550,Canvas,2021.0,"Animation,Horror",5.3,1129,nm3960639,"['nm1537207', 'nm3552388', 'nm2378852']"
tt8430054,Flee,2021.0,"Animation,Biography,Documentary",7.9,20630,nm1853542,"['nm12950877', 'nm12950879', 'nm12950879']"
tt8430598,Shirley,2020.0,"Biography,Drama,Mystery",6.1,13995,nm2528451,"['nm0005253', 'nm3747611', 'nm3747611']"
tt8431078,Friendsgiving,2020.0,"Comedy,Drama",4.5,3990,nm0660098,"['nm0015196', 'nm0993507', 'nm3214649']"
tt8433210,A Dark Foe,2020.0,"Crime,Drama,Horror",4.0,11836,nm6179825,"['nm0136393', 'nm2242932', 'nm2242932']"
tt8434110,Murina,2021.0,Drama,6.8,3630,nm2834758,"['nm5531439', 'nm0524494', 'nm4439530']"
tt8434380,Hidden Man,2018.0,"Action,Crime,Drama",6.4,2771,nm0422638,"['nm2108643', 'nm1233224', 'nm1497874']"
tt8435002,Great White,2021.0,"Horror,Thriller",4.2,9476,nm1193365,"['nm2197298', 'nm3472898', 'nm6030648']"
tt8435268,How to Get Over a Breakup,2018.0,Comedy,6.1,2211,"nm0960495,nm4661972","['nm2532905', 'nm1993908', 'nm0879804']"
tt8435308,The Spy,2019.0,"Biography,Drama,History",6.2,1993,nm0429634,"['nm2070336', 'nm0489858', 'nm0770449']"
tt8435892,The Space Between the Lines,2019.0,"Drama,Romance",6.6,1997,nm0429774,"['nm2356421', 'nm2475729', 'nm3922547']"
tt8436026,A Fortunate Man,2018.0,"Drama,Romance",7.2,8016,nm0000806,"['nm1314721', 'nm4881751', 'nm1763585']"
tt8439204,Fat: A Documentary,2019.0,Documentary,6.9,1042,nm4445821,
tt8439854,Lust Stories,2018.0,"Drama,Romance",6.4,13735,"nm0015295,nm1962313,nm0424103,nm0440604","['nm6442009', 'nm5817249', 'nm6277267']"
tt8439860,The Domain,2019.0,Drama,6.8,1555,nm0345743,"['nm1512998', 'nm0266077', 'nm3799337']"
tt8439934,Black Ops,2019.0,"Action,Horror,Sci-Fi",4.0,2678,nm7441188,"['nm2053310', 'nm3021103', 'nm5861611']"
tt8442644,Money Trap,2019.0,"Comedy,Crime",6.0,16984,nm0258784,"['nm0258784', 'nm1833525', 'nm1759326']"
tt8443704,Dear Ex,2018.0,"Comedy,Drama,Romance",7.3,7811,"nm8069001,nm3422958","['nm3579423', 'nm4612940', 'nm6021829']"
tt8449154,The Family Tree,2020.0,Drama,4.8,2928,nm0024521,"['nm9879192', 'nm2947657', 'nm6636916']"
tt8452136,Spinster,2019.0,Comedy,5.9,1209,nm0233555,"['nm2003229', 'nm0448861', 'nm9694289']"
tt8452344,Sitting in Bars with Cake,2023.0,"Comedy,Drama,Romance",6.4,3544,nm2586324,"['nm2780578', 'nm5570560', 'nm0000541']"
tt8453986,The Weasel's Tale,2019.0,"Comedy,Drama",7.2,3932,nm0002728,"['nm0096559', 'nm0553650', 'nm0104809']"
tt8456098,Karakomik Filmler: 2 Arada,2019.0,"Comedy,Drama",6.4,14132,nm0948000,"['nm0948000', 'nm5920943', 'nm0349777']"
tt8456190,Seal Team,2021.0,"Action,Animation,Comedy",5.6,1953,"nm4248415,nm3568340","['nm0799777', 'nm0000185', 'nm1663205']"
tt8457792,This Is North Preston,2019.0,Documentary,5.9,1581,nm7364459,
tt8458202,Pihu,2016.0,"Drama,Thriller",6.7,3079,nm7326029,"['nm4119309', 'nm9860359', 'nm9860360']"
tt8458582,So What Is Love,2019.0,Comedy,6.8,1535,nm1598347,"['nm1837583', 'nm1913420', 'nm2826638']"
tt8458718,Kanaa,2018.0,"Drama,Sport",7.6,3979,nm7110319,"['nm5781594', 'nm0766470', 'nm4792434']"
tt8458736,100,2019.0,Action,6.5,1561,nm6818461,"['nm3606427', 'nm1394426', 'nm1099597']"
tt8459250,Shéhérazade,2018.0,"Drama,Romance,Thriller",7.1,2811,nm3014863,"['nm9860935', 'nm9860936', 'nm9860937']"
tt8461224,The Tax Collector,2020.0,"Action,Crime,Drama",4.9,16521,nm0043742,"['nm2925352', 'nm4712342', 'nm0479471']"
tt8461958,A Colony,2018.0,Drama,7.1,1090,nm3984512,"['nm0041315', 'nm0064522', 'nm5236342']"
tt8462814,Servants,2020.0,Drama,6.4,1039,nm4234962,"['nm11180369', 'nm11180370', 'nm0412096']"
tt8464364,Evening Installation,2019.0,Thriller,3.1,2419,nm7287223,"['nm7287223', 'nm1260957', 'nm9157290']"
tt8472964,Chintu Ka Birthday,2020.0,"Comedy,Drama,War",7.7,4853,"nm3060590,nm4392112","['nm0665555', 'nm0794818', 'nm1260157']"
tt8476998,Bhonsle,2018.0,Drama,6.8,1781,nm1941973,"['nm0048075', 'nm3001807', 'nm9811069']"
tt8477134,Tulsa,2020.0,"Comedy,Drama",6.3,1260,"nm6269395,nm1966555","['nm6269395', 'nm10607333', 'nm0773884']"
tt8478554,Hidden Away,2020.0,"Biography,Drama",7.0,1860,nm2056836,"['nm0314554', 'nm4864978', 'nm11287915']"
tt8478602,Godzilla: The Planet Eater,2018.0,"Action,Adventure,Animation",5.1,5315,"nm2670218,nm2032664","['nm1465001', 'nm0757327', 'nm2573928']"
tt8479346,Hinsdale House,2019.0,Horror,3.0,3115,nm1468541,"['nm1468541', 'nm6616977', 'nm6872217']"
tt8480678,Pinocchio: A True Story,2021.0,"Animation,Family,Fantasy",3.2,1942,nm2669989,"['nm1417647', 'nm1417647', 'nm0444786']"
tt8482074,Deniz ve Günes,2018.0,Drama,4.9,2651,nm2679652,"['nm7402716', 'nm3635520', 'nm1760183']"
tt8482492,City of Salt,2020.0,"Drama,Mystery",3.2,2750,"nm4893402,nm9419812","['nm4377242', 'nm3417675', 'nm6256463']"
tt8482584,12 Mighty Orphans,2021.0,"History,Sport",6.9,9678,nm1010213,"['nm0005561', 'nm0005416', 'nm0001431']"
tt8484012,Sword of Trust,2019.0,"Comedy,Drama",6.3,4255,nm1119645,"['nm0549505', 'nm4723712', 'nm1143861']"
tt8484160,Black Beauty,2020.0,"Drama,Family",6.4,4621,nm2382037,"['nm0000701', 'nm3237775', 'nm0322513']"
tt8484586,Neevevaro,2018.0,"Action,Drama,Romance",6.8,1020,"nm10573713,nm9913062","['nm3942577', 'nm3966456', 'nm3277309']"
tt8484942,India's Most Wanted,2019.0,"Action,Thriller",4.7,2432,nm2955107,"['nm1819083', 'nm4710099', 'nm7916844']"
tt8485364,The Room,2019.0,"Drama,Fantasy,Horror",6.1,25480,nm1466691,"['nm1385871', 'nm1822271', 'nm9920292']"
tt8485548,Clownado,2019.0,"Comedy,Horror",3.3,3046,nm0790743,"['nm6331812', 'nm8205752', 'nm1239686']"
tt8485772,Porno,2019.0,"Comedy,Horror",5.1,2896,nm4324803,"['nm2744854', 'nm4116656', 'nm4746027']"
tt8488126,The Inventor: Out for Blood in Silicon Valley,2019.0,"Crime,Documentary",7.2,15921,nm0316795,
tt8488518,Bad Therapy,2020.0,"Comedy,Drama,Romance",4.4,1162,nm0854074,"['nm1117791', 'nm6370548', 'nm0000224']"
tt8489152,A Thief's Daughter,2019.0,Drama,6.2,1097,nm3678007,"['nm3036925', 'nm0273464', 'nm3856284']"
tt8489384,Hollywood.Con,2021.0,"Action,Adventure,Comedy",3.5,2787,nm0095561,"['nm0095561', 'nm3538080', 'nm0363954']"
tt8490744,Taxi Blues,2019.0,"Action,Comedy,Romance",6.7,1704,nm1196528,"['nm1058983', 'nm2131102', 'nm9876338']"
tt8490894,Ee Nagaraniki Emaindi,2018.0,"Comedy,Drama",8.0,4596,nm5056902,"['nm9876442', 'nm10037168', 'nm5118890']"
tt8493514,Locked on You,2018.0,Comedy,6.2,5428,nm1738966,"['nm1616534', 'nm0015130', 'nm3692450']"
tt8493998,Spare Parts,2020.0,"Action,Horror",4.4,1788,nm0402341,"['nm7950030', 'nm4679011', 'nm3577098']"
tt8495600,Debt,2018.0,Drama,6.3,1075,nm4467854,"['nm2985631', 'nm1293114', 'nm0997673']"
tt8497794,Still Human,2018.0,Drama,7.6,1792,nm7874958,"['nm0938893', 'nm3507486', 'nm0498189']"
